hash,intro,Parent,parents,parent,pf1,pf2,pf3,Child,children,child,cf1,cf2,cf3,v1,v2,v3,cf4,low,high
19,Your personal task is to develop a system for bakeries and their breads.,Bakery,bakeries,bakery,id,founder,headquarters,Bread,breads,bread,type,origin,flavour,Plain,Chocolate,Caramel,price,1,7
20,Your personal task is to develop a system for bakeries and their breads.,Bakery,bakeries,bakery,id,city,owner,Bread,breads,bread,name,description,flavour,Plain,Chocolate,Caramel,price,3,7
21,Your personal task is to develop a system for pizzerias and their pizzas.,Pizzeria,pizzerias,pizzeria,id,name,owner,Pizza,pizzas,pizza,name,description,type,Margherita,Hawaiian,Pepperoni,size,7,14
22,Your personal task is to develop a system for pizzerias and their pizzas.,Pizzeria,pizzerias,pizzeria,id,name,address,Pizza,pizzas,pizza,description,origin,type,Margherita,Hawaiian,Pepperoni,size,4,14
23,Your personal task is to develop a system for farms and their farmers.,Farm,farms,farm,id,location,type,Farmer,farmers,farmer,name,skill,type,Crops,Orchard,Dairy,age,18,68
24,Your personal task is to develop a system for farms and their farmers.,Farm,farms,farm,id,title,address,Farmer,farmers,farmer,name,skill,type,Crops,Orchard,Dairy,age,18,80
25,Your personal task is to develop a system for quizzes and their contestants.,Quiz,quizzes,quiz,id,location,topic,Contestant,contestants,contestant,name,profession,skill,Entertainment,History,Art,wins,0,50
26,Your personal task is to develop a system for quizzes and their contestants.,Quiz,quizzes,quiz,id,name,genre,Contestant,contestants,contestant,name,profession,skill,Sport,Literature,Science,wins,0,30
27,Your personal task is to develop a system for libraries and their books.,Library,libraries,library,id,name,patron,Book,books,book,name,author,genre,Mystery,Romance,Comedy,amount,1,10
28,Your personal task is to develop a system for libraries and their books.,Library,libraries,library,id,president,website,Book,books,book,title,author,genre,Sport,History,Biography,amount,5,8
29,Your personal task is to develop a system for restaurants and their chefs.,Restaurant,restaurants,restaurant,id,name,owner,Chef,chefs,chef,name,nationality,speciality,Starters,Mains,Desserts,stars,1,3
30,Your personal task is to develop a system for restaurants and their chefs.,Restaurant,restaurants,restaurant,id,type,country,Chef,chefs,chef,name,role,speciality,Starters,Mains,Desserts,stars,1,5
31,Your personal task is to develop a system for newspapers and their journalists.,Newspaper,newspapers,newspaper,id,name,website,Journalist,journalists,journalist,name,position,role,News,Sports,Arts,age,18,68
32,Your personal task is to develop a system for newspapers and their journalists.,Newspaper,newspapers,newspaper,id,owner,website,Journalist,journalists,journalist,name,position,role,Politics,Culture,Business,age,18,68
33,Your personal task is to develop a system for websites and their programmers.,Website,websites,website,id,address,owner,Programmer,programmers,programmer,name,role,skill,Java,Python,C,experience,1,50
34,Your personal task is to develop a system for websites and their programmers.,Website,websites,website,id,address,title,Programmer,programmers,programmer,name,role,skill,HTML,JavaScript,CSS,experience,0,65
35,Your personal task is to develop a system for trains and their carriages.,Train,trains,train,id,route,manufacturer,Carriage,carriages,carriage,code,description,type,First Class,Second Class,Third Class,seats,5,150
36,Your personal task is to develop a system for trains and their carriages.,Train,trains,train,id,route,manufacturer,Carriage,carriages,carriage,code,driver,type,First Class,Second Class,Third Class,seats,10,50
